NACA 66A-015
1.00000000 0.00000000
0.99611223 0.00012647
0.99047805 0.00048444
0.98312582 0.00114265
0.97409074 0.00216012
0.96341409 0.00358481
0.95114195 0.00545009
0.93732456 0.00777679
0.92201334 0.01056072
0.90526351 0.01379226
0.88713255 0.01744936
0.86767795 0.02148848
0.84696245 0.02587123
0.82505219 0.03055513
0.80201534 0.03548781
0.77791573 0.04057726
0.75281724 0.04571020
0.72679048 0.05078112
0.69991670 0.05571288
0.67228190 0.06042849
0.64395424 0.06470453
0.61500125 0.06820222
0.58553495 0.07077509
0.55569887 0.07258942
0.52562499 0.07384734
0.49543046 0.07463385
0.46522760 0.07497944
0.43512737 0.07490801
0.40523964 0.07443040
0.37567282 0.07357080
0.34653407 0.07234100
0.31792847 0.07076317
0.28995904 0.06885719
0.26272732 0.06663217
0.23633230 0.06410135
0.21086898 0.06129154
0.18642996 0.05822260
0.16310428 0.05491690
0.14098077 0.05137647
0.12014253 0.04762214
0.10066310 0.04370608
0.08261180 0.03967563
0.06606054 0.03554763
0.05108557 0.03131539
0.03775095 0.02701380
0.02609129 0.02275697
0.01617382 0.01855945
0.00831733 0.01400769
0.00306048 0.00886636
0.00055007 0.00383915
0.00000000 0.00000000
0.00055007 -0.00383915
0.00306048 -0.00886636
0.00831733 -0.01400769
0.01617382 -0.01855945
0.02609129 -0.02275697
0.03775095 -0.02701380
0.05108557 -0.03131539
0.06606054 -0.03554763
0.08261180 -0.03967563
0.10066310 -0.04370608
0.12014253 -0.04762214
0.14098077 -0.05137647
0.16310428 -0.05491690
0.18642996 -0.05822260
0.21086898 -0.06129154
0.23633230 -0.06410135
0.26272732 -0.06663217
0.28995904 -0.06885719
0.31792847 -0.07076317
0.34653407 -0.07234100
0.37567282 -0.07357080
0.40523964 -0.07443040
0.43512737 -0.07490801
0.46522760 -0.07497944
0.49543046 -0.07463385
0.52562499 -0.07384734
0.55569887 -0.07258942
0.58553495 -0.07077509
0.61500125 -0.06820222
0.64395424 -0.06470453
0.67228190 -0.06042849
0.69991670 -0.05571288
0.72679048 -0.05078112
0.75281724 -0.04571020
0.77791573 -0.04057726
0.80201534 -0.03548781
0.82505219 -0.03055513
0.84696245 -0.02587123
0.86767795 -0.02148848
0.88713255 -0.01744936
0.90526351 -0.01379226
0.92201334 -0.01056072
0.93732456 -0.00777679
0.95114195 -0.00545009
0.96341409 -0.00358481
0.97409074 -0.00216012
0.98312582 -0.00114265
0.99047805 -0.00048444
0.99611223 -0.00012647
1.00000000 0.00000000

