NACA 66A-009
1.00000000 0.00000000
0.99615998 0.00008414
0.99059058 0.00032235
0.98331491 0.00075830
0.97436226 0.00142864
0.96376756 0.00236073
0.95157095 0.00357324
0.93781707 0.00507308
0.92255418 0.00685172
0.90583534 0.00889946
0.88771710 0.01119470
0.86825999 0.01371054
0.84752912 0.01642035
0.82559391 0.01929654
0.80252541 0.02229181
0.77839667 0.02534191
0.75328486 0.02838219
0.72727239 0.03135741
0.70044786 0.03423365
0.67289916 0.03693743
0.64471130 0.03931487
0.61597616 0.04120003
0.58680300 0.04259412
0.55730541 0.04360493
0.52759307 0.04432554
0.49777219 0.04478011
0.46794855 0.04498624
0.43822744 0.04495462
0.40871365 0.04468911
0.37951098 0.04420518
0.35072215 0.04350783
0.32244826 0.04260898
0.29478856 0.04151982
0.26784035 0.04024633
0.24169849 0.03879643
0.21645483 0.03718310
0.19219805 0.03542092
0.16901357 0.03352267
0.14698430 0.03148977
0.12618863 0.02933401
0.10669946 0.02708082
0.08858447 0.02476089
0.07190842 0.02239075
0.05673401 0.01997182
0.04312033 0.01750607
0.03111200 0.01505201
0.02075246 0.01264601
0.01213603 0.01013463
0.00549790 0.00715281
0.00128634 0.00355270
0.00000000 0.00000000
0.00128634 -0.00355270
0.00549790 -0.00715281
0.01213603 -0.01013463
0.02075246 -0.01264601
0.03111200 -0.01505201
0.04312033 -0.01750607
0.05673401 -0.01997182
0.07190842 -0.02239075
0.08858447 -0.02476089
0.10669946 -0.02708082
0.12618863 -0.02933401
0.14698430 -0.03148977
0.16901357 -0.03352267
0.19219805 -0.03542092
0.21645483 -0.03718310
0.24169849 -0.03879643
0.26784035 -0.04024633
0.29478856 -0.04151982
0.32244826 -0.04260898
0.35072215 -0.04350783
0.37951098 -0.04420518
0.40871365 -0.04468911
0.43822744 -0.04495462
0.46794855 -0.04498624
0.49777219 -0.04478011
0.52759307 -0.04432554
0.55730541 -0.04360493
0.58680300 -0.04259412
0.61597616 -0.04120003
0.64471130 -0.03931487
0.67289916 -0.03693743
0.70044786 -0.03423365
0.72727239 -0.03135741
0.75328486 -0.02838219
0.77839667 -0.02534191
0.80252541 -0.02229181
0.82559391 -0.01929654
0.84752912 -0.01642035
0.86825999 -0.01371054
0.88771710 -0.01119470
0.90583534 -0.00889946
0.92255418 -0.00685172
0.93781707 -0.00507308
0.95157095 -0.00357324
0.96376756 -0.00236073
0.97436226 -0.00142864
0.98331491 -0.00075830
0.99059058 -0.00032235
0.99615998 -0.00008414
1.00000000 0.00000000

