NACA 66A-315
1.00000000 0.00000000
0.99610080 0.00041466
0.99046298 0.00119123
0.98312011 0.00239663
0.97411196 0.00408757
0.96348345 0.00630877
0.95128344 0.00909061
0.93756384 0.01244988
0.92237591 0.01637818
0.90577450 0.02086187
0.88780427 0.02583343
0.86851235 0.03121944
0.84798344 0.03706423
0.82625221 0.04321877
0.80335182 0.04950983
0.77931253 0.05572439
0.75422376 0.06184414
0.72816163 0.06778098
0.70121177 0.07346469
0.67346391 0.07882092
0.64498744 0.08362759
0.61585164 0.08754736
0.58617508 0.09043372
0.55611075 0.09245160
0.52579816 0.09380275
0.49535977 0.09457300
0.46491236 0.09479444
0.43457101 0.09449303
0.40444950 0.09368251
0.37465986 0.09239022
0.34531277 0.09063197
0.31651656 0.08843464
0.28837726 0.08582343
0.26099957 0.08281380
0.23448544 0.07942574
0.20893239 0.07569275
0.18443538 0.07164355
0.16108557 0.06730996
0.13897480 0.06270366
0.11818816 0.05785661
0.09879971 0.05283098
0.08087863 0.04768698
0.06449703 0.04245907
0.04973184 0.03716149
0.03664953 0.03183790
0.02527612 0.02662226
0.01565778 0.02158746
0.00804924 0.01649291
0.00288234 0.01116713
0.00030102 0.00612025
-0.00031335 0.00226106
0.00047297 -0.00150595
0.00299834 -0.00649146
0.00832328 -0.01149002
0.01639168 -0.01552712
0.02656532 -0.01886098
0.03846953 -0.02211398
0.05201589 -0.02536183
0.06716367 -0.02851033
0.08385275 -0.03152696
0.10200950 -0.03443818
0.12156313 -0.03724521
0.14244448 -0.03991303
0.16458070 -0.04239752
0.18789072 -0.04468777
0.21228856 -0.04678995
0.23768693 -0.04869095
0.26399516 -0.05037998
0.29112028 -0.05183529
0.31896564 -0.05304965
0.34743214 -0.05402032
0.37641905 -0.05473242
0.40582370 -0.05516809
0.43554162 -0.05531915
0.46546708 -0.05516414
0.49549321 -0.05469498
0.52551215 -0.05388970
0.55541501 -0.05271914
0.58508880 -0.05109827
0.61440778 -0.04882296
0.64323663 -0.04572651
0.67146920 -0.04196026
0.69903882 -0.03786710
0.72587706 -0.03367152
0.75189998 -0.02945389
0.77702855 -0.02530046
0.80119457 -0.02134032
0.82434659 -0.01779215
0.84639235 -0.01460215
0.86724144 -0.01169158
0.88681306 -0.00901160
0.90505453 -0.00668872
0.92189984 -0.00472147
0.93728583 -0.00309217
0.95115700 -0.00180601
0.96346200 -0.00086276
0.97415256 -0.00023749
0.98318551 0.00010561
0.99052350 0.00021753
0.99613600 0.00015903
1.00000000 0.00000000

