NACA 63A-009
1.00000000 0.00000000
0.99637067 0.00100306
0.99082469 0.00160625
0.98355419 0.00219979
0.97459298 0.00285471
0.96397668 0.00362746
0.95174717 0.00458289
0.93795170 0.00577325
0.92263795 0.00718584
0.90585513 0.00877148
0.88765532 0.01046014
0.86810092 0.01223887
0.84726197 0.01412698
0.82521202 0.01613359
0.80202719 0.01824925
0.77778681 0.02045648
0.75257504 0.02275032
0.72647850 0.02511562
0.69958456 0.02751088
0.67198311 0.02989035
0.64376698 0.03221024
0.61503210 0.03443457
0.58587642 0.03652590
0.55640055 0.03845782
0.52670612 0.04019872
0.49689573 0.04171124
0.46707355 0.04296940
0.43734427 0.04394779
0.40781278 0.04461619
0.37858426 0.04495444
0.34976353 0.04496986
0.32145388 0.04467166
0.29375694 0.04406060
0.26677209 0.04314809
0.24059464 0.04198219
0.21531706 0.04059181
0.19102978 0.03898248
0.16781955 0.03716831
0.14576907 0.03516923
0.12495779 0.03299862
0.10546110 0.03067257
0.08735065 0.02820517
0.07069463 0.02560823
0.05555801 0.02289193
0.04200155 0.02007391
0.03008739 0.01715704
0.01988565 0.01412440
0.01148726 0.01093945
0.00505648 0.00751497
0.00110282 0.00363303
0.00000000 0.00000000
0.00110282 -0.00363303
0.00505648 -0.00751497
0.01148726 -0.01093945
0.01988565 -0.01412440
0.03008739 -0.01715704
0.04200155 -0.02007391
0.05555801 -0.02289193
0.07069463 -0.02560823
0.08735065 -0.02820517
0.10546110 -0.03067257
0.12495779 -0.03299862
0.14576907 -0.03516923
0.16781955 -0.03716831
0.19102978 -0.03898248
0.21531706 -0.04059181
0.24059464 -0.04198219
0.26677209 -0.04314809
0.29375694 -0.04406060
0.32145388 -0.04467166
0.34976353 -0.04496986
0.37858426 -0.04495444
0.40781278 -0.04461619
0.43734427 -0.04394779
0.46707355 -0.04296940
0.49689573 -0.04171124
0.52670612 -0.04019872
0.55640055 -0.03845782
0.58587642 -0.03652590
0.61503210 -0.03443457
0.64376698 -0.03221024
0.67198311 -0.02989035
0.69958456 -0.02751088
0.72647850 -0.02511562
0.75257504 -0.02275032
0.77778681 -0.02045648
0.80202719 -0.01824925
0.82521202 -0.01613359
0.84726197 -0.01412698
0.86810092 -0.01223887
0.88765532 -0.01046014
0.90585513 -0.00877148
0.92263795 -0.00718584
0.93795170 -0.00577325
0.95174717 -0.00458289
0.96397668 -0.00362746
0.97459298 -0.00285471
0.98355419 -0.00219979
0.99082469 -0.00160625
0.99637067 -0.00100306
1.00000000 0.00000000

